id,tubeid,potid,gridid,species,burrow,crack,root,worms,voidtype,day
T33_11C-31,33,T33_11C,31,CAMROT,0,0,0,absent,soil,29
T9_3E-85,9,T9_3E,85,CAMROT,0,0,0,absent,soil,29
T21_7B-1,21,T21_7B,1,CAMROT,0,0,0,absent,soil,29
T21_7A-8,21,T21_7A,8,ACHMIL,0,0,0,absent,soil,29
T15_5D-19,15,T15_5D,19,CAMROT,0,0,0,absent,soil,29
T18_6C-66,18,T18_6C,66,ACHMIL,0,0,0,absent,soil,29
T33_11C-41,33,T33_11C,41,CAMROT,0,0,0,absent,soil,29
T33_11A-19,33,T33_11A,19,ACHMIL,0,0,0,absent,soil,29
T21_7A-54,21,T21_7A,54,ACHMIL,0,0,0,absent,soil,29
T18_6C-12,18,T18_6C,12,ACHMIL,0,0,0,absent,soil,29
T15_5D-28,15,T15_5D,28,CAMROT,0,0,0,absent,soil,29
T27_9A-99,27,T27_9A,99,CAMROT,0,0,0,absent,soil,29
T24_8A-55,24,T24_8A,55,ACHMIL,0,0,0,absent,soil,29
T27_9A-85,27,T27_9A,85,CAMROT,0,0,0,absent,soil,29
T6_2E-1,6,T6_2E,1,CAMROT,0,0,0,absent,soil,29
T21_7A-80,21,T21_7A,80,ACHMIL,0,0,0,absent,soil,29
T18_6E-52,18,T18_6E,52,CAMROT,0,0,0,absent,soil,29
T9_3C-55,9,T9_3C,55,ACHMIL,0,0,0,absent,soil,29
T9_3E-57,9,T9_3E,57,CAMROT,0,0,0,absent,soil,29
T36_12A-63,36,T36_12A,63,ACHMIL,0,0,0,absent,soil,29
T3_1B-72,3,T3_1B,72,ACHMIL,0,0,0,absent,soil,29
T24_8A-59,24,T24_8A,59,ACHMIL,0,0,0,absent,soil,29
T9_3C-50,9,T9_3C,50,ACHMIL,0,0,0,absent,soil,29
T6_2E-87,6,T6_2E,87,CAMROT,0,0,0,absent,soil,29
T21_7A-48,21,T21_7A,48,ACHMIL,0,0,0,absent,soil,29
T21_7E-16,21,T21_7E,16,CAMROT,0,0,0,absent,soil,29
T18_6E-50,18,T18_6E,50,CAMROT,0,0,0,absent,soil,29
T6_2C-54,6,T6_2C,54,CAMROT,0,0,0,absent,soil,29
T27_9A-35,27,T27_9A,35,CAMROT,0,0,0,absent,soil,29
T9_3C-37,9,T9_3C,37,ACHMIL,0,0,0,absent,soil,29
T33_11C-28,33,T33_11C,28,CAMROT,0,0,0,absent,soil,29
T6_2A-87,6,T6_2A,87,ACHMIL,0,0,0,absent,soil,29
T21_7A-73,21,T21_7A,73,ACHMIL,0,0,0,absent,soil,29
T30_10E-10,30,T30_10E,10,CAMROT,0,0,0,absent,soil,29
T27_9A-68,27,T27_9A,68,CAMROT,0,0,0,absent,soil,29
T21_7A-6,21,T21_7A,6,ACHMIL,0,0,0,absent,soil,29
T36_12E-51,36,T36_12E,51,ACHMIL,0,0,0,absent,soil,29
T15_5A-9,15,T15_5A,9,ACHMIL,0,0,0,absent,soil,29
T33_11D-75,33,T33_11D,75,CAMROT,0,0,0,absent,soil,29
T6_2E-99,6,T6_2E,99,CAMROT,0,0,0,absent,soil,29
T36_12A-111,36,T36_12A,111,ACHMIL,0,0,0,absent,soil,29
T36_12A-16,36,T36_12A,16,ACHMIL,0,0,0,absent,soil,29
T15_5D-77,15,T15_5D,77,CAMROT,0,0,0,absent,soil,29
T18_6E-83,18,T18_6E,83,CAMROT,0,0,0,absent,soil,29
T27_9A-51,27,T27_9A,51,CAMROT,0,0,0,absent,soil,29
T6_2E-74,6,T6_2E,74,CAMROT,0,0,0,absent,soil,29
T36_12D-66,36,T36_12D,66,CAMROT,0,0,0,absent,soil,29
T3_1B-37,3,T3_1B,37,ACHMIL,0,0,0,absent,soil,29
T18_6E-28,18,T18_6E,28,CAMROT,0,0,0,absent,soil,29
T30_10E-19,30,T30_10E,19,CAMROT,0,0,0,absent,soil,29
T21_7B-21,21,T21_7B,21,CAMROT,0,0,0,absent,soil,29
T9_3C-85,9,T9_3C,85,ACHMIL,0,0,0,absent,soil,29
T33_11A-34,33,T33_11A,34,ACHMIL,0,0,0,absent,soil,29
T36_12E-55,36,T36_12E,55,ACHMIL,0,0,0,absent,soil,29
T18_6E-42,18,T18_6E,42,CAMROT,0,0,0,absent,soil,29
T33_11B-22,33,T33_11B,22,ACHMIL,0,0,0,absent,soil,29
T36_12A-20,36,T36_12A,20,ACHMIL,0,0,0,absent,soil,29
T18_6C-57,18,T18_6C,57,ACHMIL,0,0,0,absent,soil,29
T3_1B-15,3,T3_1B,15,ACHMIL,0,0,0,absent,soil,29
T21_7A-72,21,T21_7A,72,ACHMIL,0,0,0,absent,soil,29
T6_2C-33,6,T6_2C,33,CAMROT,0,0,0,absent,soil,29
T33_11D-26,33,T33_11D,26,CAMROT,0,0,0,absent,soil,29
T3_1B-71,3,T3_1B,71,ACHMIL,0,0,0,absent,soil,29
T27_9A-75,27,T27_9A,75,CAMROT,0,0,0,absent,soil,29
T36_12A-7,36,T36_12A,7,ACHMIL,0,0,0,absent,soil,29
T9_3C-66,9,T9_3C,66,ACHMIL,0,0,0,absent,soil,29
T6_2E-61,6,T6_2E,61,CAMROT,0,0,0,absent,soil,29
T27_9B-91,27,T27_9B,91,ACHMIL,0,0,0,absent,soil,29
T21_7A-69,21,T21_7A,69,ACHMIL,0,0,0,absent,soil,29
T18_6C-42,18,T18_6C,42,ACHMIL,0,0,0,absent,soil,29
T9_3E-98,9,T9_3E,98,CAMROT,0,0,0,absent,soil,29
T9_3C-19,9,T9_3C,19,ACHMIL,0,0,0,absent,soil,29
T33_11A-12,33,T33_11A,12,ACHMIL,0,0,0,absent,soil,29
T12_4A-64,12,T12_4A,64,ACHMIL,0,0,0,absent,soil,29
T21_7A-9,21,T21_7A,9,ACHMIL,0,0,0,absent,soil,29
T33_11A-6,33,T33_11A,6,ACHMIL,0,0,0,absent,soil,29
T21_7D-44,21,T21_7D,44,ACHMIL,0,0,0,absent,soil,29
T33_11D-51,33,T33_11D,51,CAMROT,0,0,0,absent,soil,29
T24_8A-104,24,T24_8A,104,ACHMIL,0,0,0,absent,soil,29
T3_1B-78,3,T3_1B,78,ACHMIL,0,0,0,absent,soil,29
T15_5A-4,15,T15_5A,4,ACHMIL,0,0,0,absent,soil,29
T27_9B-81,27,T27_9B,81,ACHMIL,0,0,0,absent,soil,29
T9_3E-102,9,T9_3E,102,CAMROT,0,0,0,absent,soil,29
T21_7E-49,21,T21_7E,49,CAMROT,0,0,0,absent,soil,29
T21_7B-24,21,T21_7B,24,CAMROT,0,0,0,absent,soil,29
T36_12D-96,36,T36_12D,96,CAMROT,0,0,0,absent,soil,29
T33_11D-100,33,T33_11D,100,CAMROT,0,0,0,absent,soil,29
T6_2A-105,6,T6_2A,105,ACHMIL,0,0,0,absent,soil,29
T21_7E-18,21,T21_7E,18,CAMROT,0,0,0,absent,soil,29
T36_12A-92,36,T36_12A,92,ACHMIL,0,0,0,absent,soil,29
T24_8E-91,24,T24_8E,91,CAMROT,0,0,0,absent,soil,29
T18_6E-71,18,T18_6E,71,CAMROT,0,0,0,absent,soil,29
T6_2A-67,6,T6_2A,67,ACHMIL,0,0,0,absent,soil,29
T6_2A-73,6,T6_2A,73,ACHMIL,0,0,0,absent,soil,29
T36_12A-105,36,T36_12A,105,ACHMIL,0,0,0,absent,soil,29
T33_11A-49,33,T33_11A,49,ACHMIL,0,0,0,absent,soil,29
T3_1B-92,3,T3_1B,92,ACHMIL,0,0,0,absent,soil,29
T36_12D-45,36,T36_12D,45,CAMROT,0,0,0,absent,soil,29
T27_9A-7,27,T27_9A,7,CAMROT,0,0,0,absent,soil,29
T33_11C-13,33,T33_11C,13,CAMROT,0,0,0,absent,soil,29
T27_9A-38,27,T27_9A,38,CAMROT,0,0,0,absent,soil,29
T6_2E-77,6,T6_2E,77,CAMROT,0,0,0,absent,soil,29
T24_8E-18,24,T24_8E,18,CAMROT,0,0,0,absent,soil,29
T12_4C-18,12,T12_4C,18,CAMROT,0,0,0,absent,soil,29
T21_7A-26,21,T21_7A,26,ACHMIL,0,0,0,absent,soil,29
T9_3C-61,9,T9_3C,61,ACHMIL,0,0,0,absent,soil,29
T3_1B-60,3,T3_1B,60,ACHMIL,0,0,0,absent,soil,29
T36_12A-59,36,T36_12A,59,ACHMIL,0,0,0,absent,soil,29
T27_9A-63,27,T27_9A,63,CAMROT,0,0,0,absent,soil,29
T33_11C-68,33,T33_11C,68,CAMROT,0,0,0,absent,soil,29
T33_11B-12,33,T33_11B,12,ACHMIL,0,0,0,absent,soil,29
T33_11A-13,33,T33_11A,13,ACHMIL,0,0,0,absent,soil,29
T30_10E-57,30,T30_10E,57,CAMROT,0,0,0,absent,soil,29
T6_2E-104,6,T6_2E,104,CAMROT,0,0,0,absent,soil,29
T24_8A-94,24,T24_8A,94,ACHMIL,0,0,0,absent,soil,29
T18_6E-99,18,T18_6E,99,CAMROT,0,0,0,absent,soil,29
T3_1B-41,3,T3_1B,41,ACHMIL,0,0,0,absent,soil,29
T9_3E-84,9,T9_3E,84,CAMROT,0,0,0,absent,soil,29
T21_7A-99,21,T21_7A,99,ACHMIL,0,0,0,absent,soil,29
T18_6C-92,18,T18_6C,92,ACHMIL,0,0,0,absent,soil,29
T18_6C-91,18,T18_6C,91,ACHMIL,0,0,0,absent,soil,29
T36_12A-28,36,T36_12A,28,ACHMIL,0,0,0,absent,soil,29
T3_1B-83,3,T3_1B,83,ACHMIL,0,0,0,absent,soil,29
T33_11D-49,33,T33_11D,49,CAMROT,0,0,0,absent,soil,29
